;Maya 3;;
Ene/1990;14,89734957;;
Feb/1990;13,8562842;;
Mar/1990;12,29817795;;
Abr/1990;10,92709482;;
May/1990;10,45208622;;
Jun/1990;9,817347883;;
Jul/1990;13,18897197;;
Ago/1990;20,82531403;;
Sep/1990;26,23837859;;
Oct/1990;25,46177359;;
Nov/1990;23,59004975;;
Dic/1990;19,22147211;;
Ene/1991;13,79543677;;
Feb/1991;10,8450172;;
Mar/1991;11,36632893;;
Abr/1991;12,06857683;;
May/1991;11,99109921;;
Jun/1991;11,93045059;;
Jul/1991;12,85289398;;
Ago/1991;12,72463779;;
Sep/1991;13,35715997;;
Oct/1991;14,09444323;;
Nov/1991;11,64301925;;
Dic/1991;10,08191724;;
Ene/1992;10,07942576;;
Feb/1992;10,22297076;;
Mar/1992;10,9286158;;
Abr/1992;12,26316078;;
May/1992;13,88249037;;
Jun/1992;14,71743278;;
Jul/1992;14,69466574;;
Ago/1992;14,59216461;;
Sep/1992;15,00216785;;
Oct/1992;15,04773569;;
Nov/1992;13,49984691;;
Dic/1992;11,99989498;;
Ene/1993;11,80383734;;
Feb/1993;12,50558464;;
Mar/1993;12,81262534;;
Abr/1993;12,87381017;;
May/1993;12,22093025;;
Jun/1993;11,10603939;;
Jul/1993;11,02437251;;
Ago/1993;11,15048399;;
Sep/1993;11,27799971;;
Oct/1993;11,21899399;;
Nov/1993;9,715306214;;
Dic/1993;9,101101237;;
Ene/1994;10,22791906;;
Feb/1994;9,954569172;;
Mar/1994;10,30730662;;
Abr/1994;11,94394644;;
May/1994;12,81887935;;
Jun/1994;14,00949905;;
Jul/1994;14,52594293;;
Ago/1994;12,76311757;;
Sep/1994;12,52793835;;
Oct/1994;13,82716614;;
Nov/1994;14,1005632;;
Dic/1994;13,83166815;;
Ene/1995;14,28258028;;
Feb/1995;14,80075823;;
Mar/1995;15,12121397;;
Abr/1995;16,03165237;;
May/1995;16,05226699;;
Jun/1995;14,61158763;;
Jul/1995;13,25636987;;
Ago/1995;13,44926121;;
Sep/1995;13,36317526;;
Oct/1995;12,99108862;;
Nov/1995;13,58020531;;
Dic/1995;15,11648236;;
Ene/1996;14,64035694;;
Feb/1996;15,09614674;;
Mar/1996;16,6822048;;
Abr/1996;17,46172587;;
May/1996;16,06919314;;
Jun/1996;15,56116324;;
Jul/1996;15,97882474;;
Ago/1996;17,14993907;;
Sep/1996;19,30804622;;
Oct/1996;20,56257262;;
Nov/1996;18,9136139;;
Dic/1996;19,31687263;;
Ene/1997;18,06011862;;
Feb/1997;15,7096366;;
Mar/1997;14,48291157;;
Abr/1997;14,25924065;;
May/1997;14,83437602;;
Jun/1997;13,79508428;;
Jul/1997;14,15888992;;
Ago/1997;14,82152796;;
Sep/1997;14,7485645;;
Oct/1997;15,70076095;;
Nov/1997;14,31630477;;
Dic/1997;11,43837893;;
Ene/1998;9,713509264;;
Feb/1998;8,882053823;;
Mar/1998;7,631504193;;
Abr/1998;9,058310505;;
May/1998;9,082048543;;
Jun/1998;8,297229556;;
Jul/1998;8,804920565;;
Ago/1998;8,23990536;;
Sep/1998;9,465376732;;
Oct/1998;9,128815452;;
Nov/1998;7,865962107;;
Dic/1998;6,349165882;;
Ene/1999;7,392438203;;
Feb/1999;7,126745871;;
Mar/1999;9,856138449;;
Abr/1999;12,35098239;;
May/1999;12,23709561;;
Jun/1999;13,07440766;;
Jul/1999;15,31964977;;
Ago/1999;17,43040574;;
Sep/1999;19,07746255;;
Oct/1999;18,43495501;;
Nov/1999;19,96113549;;
Dic/1999;20,14011708;;
Ene/2000;21,34877303;;
Feb/2000;23,54715351;;
Mar/2000;22,93506492;;
Abr/2000;20,26014862;;
May/2000;23,19324295;;
Jun/2000;24,74417012;;
Jul/2000;22,77812698;;
Ago/2000;24,35519114;;
Sep/2000;25,82258645;;
Oct/2000;25,01194866;;
Nov/2000;24,06570572;;
Dic/2000;17,81294799;;
Ene/2001;18,3099912;;
Feb/2001;18,79957125;;
Mar/2001;16,85152013;;
Abr/2001;16,36014862;;
May/2001;18,19962427;;
Jun/2001;18,78967756;;
Jul/2001;18,43304489;;
Ago/2001;19,27481424;;
Sep/2001;19,32554949;;
Oct/2001;15,57185682;;
Nov/2001;13,25951099;;
Dic/2001;13,66224193;;
Ene/2002;14,03278912;;
Feb/2002;15,27866444;;
Mar/2002;19,40542714;;
Abr/2002;21,8972666;;
May/2002;21,98787479;;
Jun/2002;21,50741325;;
Jul/2002;22,38922276;;
Ago/2002;23,25390873;;
Sep/2002;24,51441855;;
Oct/2002;22,82646476;;
Nov/2002;20,00194247;;
Dic/2002;23,28267467;;
Ene/2003;27,07481743;;
